Student IDs,Day,Hour,Activity,Duration
0,2,0,0.0,1008
0,2,0,1,0
0,2,0,2,0
0,2,1,0.0,1029
0,2,1,1,0
0,2,1,2,0
0,2,2,0.0,1017
0,2,2,1,0
0,2,2,2,0
0,2,3,0.0,1041
0,2,3,1,0
0,2,3,2,0
0,2,4,0.0,1038
0,2,4,1,0
0,2,4,2,0
0,2,5,0.0,1038
0,2,5,1,0
0,2,5,2,0
0,2,6,0.0,1035
0,2,6,1,0
0,2,6,2,0
0,2,7,0.0,696
0,2,7,1.0,192
0,2,7,2,0
0,2,8,0.0,843
0,2,8,1.0,99
0,2,8,2,0
0,2,9,0.0,678
0,2,9,1.0,192
0,2,9,2,0
0,2,10,0.0,861
0,2,10,1.0,96
0,2,10,2,0
0,2,11,0.0,354
0,2,11,1.0,624
0,2,11,2,0
0,2,12,0.0,945
0,2,12,1.0,24
0,2,12,2,0
0,2,13,0.0,783
0,2,13,2.0,54
0,2,13,1.0,114
0,2,14,0.0,1032
0,2,14,1,0
0,2,14,2,0
0,2,15,0.0,642
0,2,15,1.0,339
0,2,15,2,0
0,2,16,0.0,933
0,2,16,1.0,30
0,2,16,2,0
0,2,17,0.0,633
0,2,17,2.0,3
0,2,17,1.0,138
0,2,18,0.0,456
0,2,18,2.0,24
0,2,18,1.0,312
0,2,19,0.0,84
0,2,19,2.0,843
0,2,19,1.0,27
0,2,20,0.0,783
0,2,20,2.0,168
0,2,20,1.0,9
0,2,21,0.0,957
0,2,21,1.0,33
0,2,21,2,0
0,2,22,0.0,1032
0,2,22,1,0
0,2,22,2,0
0,2,23,0.0,1038
0,2,23,1,0
0,2,23,2,0
0,3,0,0.0,1041
0,3,0,1,0
0,3,0,2,0
0,3,1,0.0,1038
0,3,1,1,0
0,3,1,2,0
0,3,2,0.0,1041
0,3,2,1,0
0,3,2,2,0
0,3,3,0.0,1038
0,3,3,1,0
0,3,3,2,0
0,3,4,0.0,1041
0,3,4,1,0
0,3,4,2,0
0,3,5,0.0,1038
0,3,5,1,0
0,3,5,2,0
0,3,6,0.0,108
0,3,6,1,0
0,3,6,2,0
0,3,7,0.0,210
0,3,7,1.0,126
0,3,7,2,0
0,3,8,0.0,882
0,3,8,1.0,99
0,3,8,2,0
0,3,9,0.0,1008
0,3,9,1,0
0,3,9,2,0
0,3,10,0.0,1014
0,3,10,1,0
0,3,10,2,0
0,3,11,0.0,846
0,3,11,2.0,12
0,3,11,1.0,114
0,3,12,0.0,900
0,3,12,1.0,45
0,3,12,2,0
0,3,13,0.0,567
0,3,13,2.0,177
0,3,13,1.0,177
0,3,14,0.0,648
0,3,14,2.0,66
0,3,14,1.0,264
0,3,15,0.0,972
0,3,15,2.0,36
0,3,15,1.0,6
0,3,16,0.0,963
0,3,16,1.0,21
0,3,16,2,0
0,3,17,0.0,756
0,3,17,2.0,12
0,3,17,1.0,156
0,3,18,0.0,888
0,3,18,2.0,30
0,3,18,1.0,63
0,3,19,0.0,975
0,3,19,2.0,15
0,3,19,1.0,27
0,3,20,0.0,945
0,3,20,1.0,21
0,3,20,2,0
0,3,21,0.0,621
0,3,21,2.0,12
0,3,21,1.0,183
0,3,22,0.0,855
0,3,22,1.0,93
0,3,22,2,0
0,3,23,0.0,906
0,3,23,1.0,72
0,3,23,2,0
0,4,0,0.0,1038
0,4,0,1,0
0,4,0,2,0
0,4,1,0.0,1026
0,4,1,1,0
0,4,1,2,0
0,4,2,0.0,1038
0,4,2,1,0
0,4,2,2,0
0,4,3,0.0,1038
0,4,3,1,0
0,4,3,2,0
